ID_Pedido,Data_Pedido,Nome_Produto,Categoria,Preco_Unitario,Quantidade,ID_Cliente,Cidade,Estado,Faturamento
1000,2025-08-14 23:00:00,Smartphone Premium,Eletrônicos,4200.0,6,109,São Luís,MA,25200.0
1001,2025-08-14 19:00:00,Mouse Vertical,Acessórios,246.93,5,122,Macapá,AP,1234.65
1002,2025-08-14 12:00:00,Roteador Wi-Fi 6,Hardware,650.0,1,107,Aracaju,SE,650.0
1003,2025-08-14 10:00:00,Placa de Vídeo,Hardware,4500.0,4,149,Manaus,AM,18000.0
1004,2025-08-14 23:00:00,Notebook Ultrafino,Eletrônicos,5200.0,3,102,Fortaleza,CE,15600.0
1005,2025-08-15 15:00:00,Cadeira Gamer,Móveis,1200.0,4,118,Vitória,ES,4800.0
1006,2025-08-15 23:00:00,Laptop Gamer,Eletrônicos,7500.0,7,131,Belém,PA,52500.0
1007,2025-08-15 05:00:00,HD Externo 2TB,Hardware,450.0,7,132,São Luís,MA,3150.0
1008,2025-08-15 16:00:00,Smartphone Premium,Eletrônicos,4200.0,2,130,Belém,PA,8400.0
1009,2025-08-15 00:00:00,Notebook Ultrafino,Eletrônicos,5200.0,6,100,Belo Horizonte,MG,31200.0
1010,2025-08-16 03:00:00,Headset 7.1,Acessórios,800.0,4,108,Palmas,TO,3200.0
1011,2025-08-16 20:00:00,Cadeira Gamer,Móveis,1200.0,7,125,Palmas,TO,8400.0
1012,2025-08-16 07:00:00,Headset 7.1,Acessórios,800.0,4,113,Campo Grande,MS,3200.0
1013,2025-08-16 19:00:00,Laptop Gamer,Eletrônicos,7500.0,2,112,Maceió,AL,15000.0
1014,2025-08-16 07:00:00,Monitor Ultrawide,Eletrônicos,2800.0,1,128,Macapá,AP,2800.0
1015,2025-08-17 18:00:00,Webcam Full HD,Acessórios,300.0,1,107,Goiânia,GO,300.0
1016,2025-08-17 09:00:00,Mesa Escritório,Móveis,700.0,2,146,Florianópolis,SC,1400.0
1017,2025-08-17 00:00:00,Mouse Vertical,Acessórios,247.52,6,115,Goiânia,GO,1485.1200000000001
1018,2025-08-17 21:00:00,Monitor Ultrawide,Eletrônicos,2800.0,4,149,Belo Horizonte,MG,11200.0
1019,2025-08-17 14:00:00,Fonte 750W,Hardware,550.0,1,147,São Luís,MA,550.0
1020,2025-08-18 01:00:00,Notebook Ultrafino,Eletrônicos,5200.0,1,135,Florianópolis,SC,5200.0
1021,2025-08-18 18:00:00,Laptop Gamer,Eletrônicos,7500.0,7,115,Rio Branco,AC,52500.0
1022,2025-08-18 01:00:00,SSD 1TB,Hardware,600.0,6,139,Aracaju,SE,3600.0
1023,2025-08-18 21:00:00,Headset 7.1,Acessórios,800.0,2,122,Natal,RN,1600.0
1024,2025-08-18 06:00:00,Placa de Vídeo,Hardware,4500.0,5,123,Cuiabá,MT,22500.0
1025,2025-08-19 19:00:00,Webcam Full HD,Acessórios,300.0,6,139,Belo Horizonte,MG,1800.0
1026,2025-08-19 18:00:00,Impressora Multifuncional,Eletrônicos,900.0,6,119,São Paulo,SP,5400.0
1027,2025-08-19 20:00:00,Laptop Gamer,Eletrônicos,7500.0,7,141,Porto Alegre,RS,52500.0
1028,2025-08-19 14:00:00,Mesa Escritório,Móveis,700.0,2,114,Campo Grande,MS,1400.0
1029,2025-08-19 05:00:00,Impressora Multifuncional,Eletrônicos,900.0,4,135,Recife,PE,3600.0
1030,2025-08-20 07:00:00,Mesa Escritório,Móveis,700.0,6,140,Maceió,AL,4200.0
1031,2025-08-20 14:00:00,Laptop Gamer,Eletrônicos,7500.0,6,107,Rio de Janeiro,RJ,45000.0
1032,2025-08-20 01:00:00,Webcam Full HD,Acessórios,300.0,1,123,João Pessoa,PB,300.0
1033,2025-08-20 00:00:00,Impressora Multifuncional,Eletrônicos,900.0,3,110,Porto Velho,RO,2700.0
1034,2025-08-20 18:00:00,Smartphone Premium,Eletrônicos,4200.0,2,127,Teresina,PI,8400.0
1035,2025-08-21 21:00:00,Impressora Multifuncional,Eletrônicos,900.0,3,122,Porto Velho,RO,2700.0
1036,2025-08-21 02:00:00,Mouse Vertical,Acessórios,239.21,1,145,Boa Vista,RR,239.21
1037,2025-08-21 15:00:00,Cadeira Gamer,Móveis,1200.0,3,109,Salvador,BA,3600.0
1038,2025-08-21 17:00:00,Smartphone Premium,Eletrônicos,4200.0,5,131,Boa Vista,RR,21000.0
1039,2025-08-21 13:00:00,Monitor Ultrawide,Eletrônicos,2800.0,2,107,Macapá,AP,5600.0
1040,2025-08-22 16:00:00,Webcam Full HD,Acessórios,300.0,3,135,Rio de Janeiro,RJ,900.0
1041,2025-08-22 04:00:00,Placa de Vídeo,Hardware,4500.0,7,121,Rio de Janeiro,RJ,31500.0
1042,2025-08-22 11:00:00,Fonte 750W,Hardware,550.0,1,137,Macapá,AP,550.0
1043,2025-08-22 01:00:00,Impressora Multifuncional,Eletrônicos,900.0,2,107,Salvador,BA,1800.0
1044,2025-08-22 09:00:00,HD Externo 2TB,Hardware,450.0,2,148,São Paulo,SP,900.0
1045,2025-08-23 02:00:00,Roteador Wi-Fi 6,Hardware,650.0,7,128,Maceió,AL,4550.0
1046,2025-08-23 06:00:00,Cadeira Gamer,Móveis,1200.0,7,129,Recife,PE,8400.0
1047,2025-08-23 01:00:00,Placa de Vídeo,Hardware,4500.0,2,114,João Pessoa,PB,9000.0
1048,2025-08-23 08:00:00,Webcam Full HD,Acessórios,300.0,5,131,Teresina,PI,1500.0
1049,2025-08-23 02:00:00,Teclado Mecânico,Acessórios,521.47,1,148,Teresina,PI,521.47
1050,2025-08-24 11:00:00,Monitor Ultrawide,Eletrônicos,2800.0,7,139,Campo Grande,MS,19600.0
1051,2025-08-24 12:00:00,SSD 1TB,Hardware,600.0,2,121,Recife,PE,1200.0
1052,2025-08-24 01:00:00,Headset 7.1,Acessórios,800.0,1,133,Campo Grande,MS,800.0
1053,2025-08-24 22:00:00,Laptop Gamer,Eletrônicos,7500.0,7,146,Natal,RN,52500.0
1054,2025-08-24 21:00:00,Roteador Wi-Fi 6,Hardware,650.0,3,112,João Pessoa,PB,1950.0
1055,2025-08-25 21:00:00,Cadeira Gamer,Móveis,1200.0,4,137,Rio de Janeiro,RJ,4800.0
1056,2025-08-25 05:00:00,Mesa Escritório,Móveis,700.0,7,146,Rio Branco,AC,4900.0
1057,2025-08-25 23:00:00,Smartphone Premium,Eletrônicos,4200.0,5,125,Macapá,AP,21000.0
1058,2025-08-25 08:00:00,Headset 7.1,Acessórios,800.0,6,147,Goiânia,GO,4800.0
1059,2025-08-25 05:00:00,Impressora Multifuncional,Eletrônicos,900.0,3,138,Palmas,TO,2700.0
1060,2025-08-26 00:00:00,Dock Station USB-C,Acessórios,500.0,2,118,Florianópolis,SC,1000.0
1061,2025-08-26 09:00:00,Monitor Ultrawide,Eletrônicos,2800.0,6,120,Rio Branco,AC,16800.0
1062,2025-08-26 03:00:00,Headset 7.1,Acessórios,800.0,6,128,Recife,PE,4800.0
1063,2025-08-26 06:00:00,Cadeira Gamer,Móveis,1200.0,1,121,São Paulo,SP,1200.0
1064,2025-08-26 15:00:00,Headset 7.1,Acessórios,800.0,3,129,Belo Horizonte,MG,2400.0
1065,2025-08-27 05:00:00,Headset 7.1,Acessórios,800.0,2,131,Macapá,AP,1600.0
1066,2025-08-27 22:00:00,Monitor Ultrawide,Eletrônicos,2800.0,7,117,Boa Vista,RR,19600.0
1067,2025-08-27 22:00:00,Roteador Wi-Fi 6,Hardware,650.0,5,117,Goiânia,GO,3250.0
1068,2025-08-27 08:00:00,Smartphone Premium,Eletrônicos,4200.0,6,139,Cuiabá,MT,25200.0
1069,2025-08-27 16:00:00,Monitor Ultrawide,Eletrônicos,2800.0,5,115,Maceió,AL,14000.0
1070,2025-08-28 09:00:00,Smartphone Premium,Eletrônicos,4200.0,2,144,Cuiabá,MT,8400.0
1071,2025-08-28 08:00:00,Monitor Ultrawide,Eletrônicos,2800.0,7,104,Goiânia,GO,19600.0
1072,2025-08-28 01:00:00,Cadeira Gamer,Móveis,1200.0,3,120,Florianópolis,SC,3600.0
1073,2025-08-28 05:00:00,Dock Station USB-C,Acessórios,500.0,7,104,Maceió,AL,3500.0
1074,2025-08-28 18:00:00,Impressora Multifuncional,Eletrônicos,900.0,6,102,São Luís,MA,5400.0
1075,2025-08-29 04:00:00,Impressora Multifuncional,Eletrônicos,900.0,1,101,Rio de Janeiro,RJ,900.0
1076,2025-08-29 06:00:00,Caixa de Som Bluetooth,Acessórios,350.0,6,127,Curitiba,PR,2100.0
1077,2025-08-29 07:00:00,SSD 1TB,Hardware,600.0,7,129,Natal,RN,4200.0
1078,2025-08-29 02:00:00,Headset 7.1,Acessórios,800.0,7,123,Vitória,ES,5600.0
1079,2025-08-29 18:00:00,Notebook Ultrafino,Eletrônicos,5200.0,4,100,Belo Horizonte,MG,20800.0
1080,2025-08-30 08:00:00,Roteador Wi-Fi 6,Hardware,650.0,7,149,Belém,PA,4550.0
1081,2025-08-30 22:00:00,Dock Station USB-C,Acessórios,500.0,5,103,Manaus,AM,2500.0
1082,2025-08-30 13:00:00,Impressora Multifuncional,Eletrônicos,900.0,4,101,Maceió,AL,3600.0
1083,2025-08-30 01:00:00,Placa de Vídeo,Hardware,4500.0,1,117,Porto Alegre,RS,4500.0
1084,2025-08-30 10:00:00,Roteador Wi-Fi 6,Hardware,650.0,3,121,Macapá,AP,1950.0
1085,2025-08-31 12:00:00,Laptop Gamer,Eletrônicos,7500.0,7,140,Maceió,AL,52500.0
1086,2025-08-31 16:00:00,Webcam Full HD,Acessórios,300.0,7,115,Aracaju,SE,2100.0
1087,2025-08-31 23:00:00,Webcam Full HD,Acessórios,300.0,1,125,Goiânia,GO,300.0
1088,2025-08-31 20:00:00,SSD 1TB,Hardware,600.0,2,125,Vitória,ES,1200.0
1089,2025-08-31 06:00:00,Webcam Full HD,Acessórios,300.0,7,140,Porto Velho,RO,2100.0
1090,2025-09-01 06:00:00,Caixa de Som Bluetooth,Acessórios,350.0,1,141,Cuiabá,MT,350.0
1091,2025-09-01 04:00:00,Smartphone Premium,Eletrônicos,4200.0,3,113,Natal,RN,12600.0
1092,2025-09-01 13:00:00,Roteador Wi-Fi 6,Hardware,650.0,2,111,Belém,PA,1300.0
1093,2025-09-01 18:00:00,Smartphone Premium,Eletrônicos,4200.0,5,122,Vitória,ES,21000.0
1094,2025-09-01 14:00:00,HD Externo 2TB,Hardware,450.0,7,104,Brasília,DF,3150.0
1095,2025-09-02 19:00:00,Cadeira Gamer,Móveis,1200.0,2,144,Florianópolis,SC,2400.0
1096,2025-09-02 07:00:00,Roteador Wi-Fi 6,Hardware,650.0,2,100,Fortaleza,CE,1300.0
1097,2025-09-02 05:00:00,Impressora Multifuncional,Eletrônicos,900.0,1,139,Natal,RN,900.0
1098,2025-09-02 08:00:00,Cadeira Gamer,Móveis,1200.0,3,129,Aracaju,SE,3600.0
1099,2025-09-02 13:00:00,Smartphone Premium,Eletrônicos,4200.0,3,143,Recife,PE,12600.0
1100,2025-09-03 21:00:00,Fonte 750W,Hardware,550.0,5,103,Porto Velho,RO,2750.0
1101,2025-09-03 05:00:00,Monitor Ultrawide,Eletrônicos,2800.0,7,130,Fortaleza,CE,19600.0
1102,2025-09-03 22:00:00,Notebook Ultrafino,Eletrônicos,5200.0,7,146,João Pessoa,PB,36400.0
1103,2025-09-03 22:00:00,Roteador Wi-Fi 6,Hardware,650.0,4,132,João Pessoa,PB,2600.0
1104,2025-09-03 17:00:00,Mesa Escritório,Móveis,700.0,5,138,Porto Alegre,RS,3500.0
1105,2025-09-04 19:00:00,Placa de Vídeo,Hardware,4500.0,6,116,Palmas,TO,27000.0
1106,2025-09-04 13:00:00,Monitor Ultrawide,Eletrônicos,2800.0,6,113,Curitiba,PR,16800.0
1107,2025-09-04 00:00:00,Mesa Escritório,Móveis,700.0,7,127,Manaus,AM,4900.0
1108,2025-09-04 09:00:00,Dock Station USB-C,Acessórios,500.0,5,113,Campo Grande,MS,2500.0
1109,2025-09-04 01:00:00,Smartphone Premium,Eletrônicos,4200.0,7,113,Maceió,AL,29400.0
1110,2025-09-05 06:00:00,Caixa de Som Bluetooth,Acessórios,350.0,1,114,Florianópolis,SC,350.0
1111,2025-09-05 04:00:00,Teclado Mecânico,Acessórios,547.14,2,132,João Pessoa,PB,1094.28
1112,2025-09-05 22:00:00,Placa de Vídeo,Hardware,4500.0,3,134,Macapá,AP,13500.0
1113,2025-09-05 07:00:00,Roteador Wi-Fi 6,Hardware,650.0,5,145,Goiânia,GO,3250.0
1114,2025-09-05 21:00:00,Notebook Ultrafino,Eletrônicos,5200.0,7,103,Aracaju,SE,36400.0
1115,2025-09-06 08:00:00,Smartphone Premium,Eletrônicos,4200.0,2,132,Cuiabá,MT,8400.0
1116,2025-09-06 15:00:00,Webcam Full HD,Acessórios,300.0,3,137,Maceió,AL,900.0
1117,2025-09-06 03:00:00,Dock Station USB-C,Acessórios,500.0,1,136,Teresina,PI,500.0
1118,2025-09-06 06:00:00,Cadeira Gamer,Móveis,1200.0,7,149,Natal,RN,8400.0
1119,2025-09-06 19:00:00,Mouse Vertical,Acessórios,236.96,4,145,Porto Velho,RO,947.84
1120,2025-09-07 21:00:00,Laptop Gamer,Eletrônicos,7500.0,3,142,Porto Velho,RO,22500.0
1121,2025-09-07 09:00:00,Smartphone Premium,Eletrônicos,4200.0,4,124,João Pessoa,PB,16800.0
1122,2025-09-07 18:00:00,SSD 1TB,Hardware,600.0,1,136,Porto Alegre,RS,600.0
1123,2025-09-07 02:00:00,Smartphone Premium,Eletrônicos,4200.0,1,117,Manaus,AM,4200.0
1124,2025-09-07 08:00:00,Smartphone Premium,Eletrônicos,4200.0,6,110,Cuiabá,MT,25200.0
1125,2025-09-08 06:00:00,Fonte 750W,Hardware,550.0,5,131,Florianópolis,SC,2750.0
1126,2025-09-08 21:00:00,Smartphone Premium,Eletrônicos,4200.0,5,141,Rio Branco,AC,21000.0
1127,2025-09-08 00:00:00,Dock Station USB-C,Acessórios,500.0,1,119,Vitória,ES,500.0
1128,2025-09-08 15:00:00,HD Externo 2TB,Hardware,450.0,2,124,Macapá,AP,900.0
1129,2025-09-08 03:00:00,Placa de Vídeo,Hardware,4500.0,4,149,Rio de Janeiro,RJ,18000.0
1130,2025-09-09 21:00:00,Mesa Escritório,Móveis,700.0,3,134,Porto Alegre,RS,2100.0
1131,2025-09-09 16:00:00,Cadeira Gamer,Móveis,1200.0,1,143,Cuiabá,MT,1200.0
1132,2025-09-09 20:00:00,Impressora Multifuncional,Eletrônicos,900.0,2,122,Belém,PA,1800.0
1133,2025-09-09 19:00:00,Webcam Full HD,Acessórios,300.0,5,139,Aracaju,SE,1500.0
1134,2025-09-09 23:00:00,Fonte 750W,Hardware,550.0,4,124,Boa Vista,RR,2200.0
1135,2025-09-10 06:00:00,Fonte 750W,Hardware,550.0,5,124,Aracaju,SE,2750.0
1136,2025-09-10 17:00:00,Mesa Escritório,Móveis,700.0,4,113,Rio de Janeiro,RJ,2800.0
1137,2025-09-10 05:00:00,Smartphone Premium,Eletrônicos,4200.0,6,116,Curitiba,PR,25200.0
1138,2025-09-10 02:00:00,Teclado Mecânico,Acessórios,518.7,2,138,Salvador,BA,1037.4
1139,2025-09-10 18:00:00,Monitor Ultrawide,Eletrônicos,2800.0,5,141,Rio de Janeiro,RJ,14000.0
1140,2025-09-11 22:00:00,Fonte 750W,Hardware,550.0,7,148,Belém,PA,3850.0
1141,2025-09-11 14:00:00,SSD 1TB,Hardware,600.0,3,106,Vitória,ES,1800.0
1142,2025-09-11 01:00:00,Laptop Gamer,Eletrônicos,7500.0,7,100,Porto Velho,RO,52500.0
1143,2025-09-11 01:00:00,SSD 1TB,Hardware,600.0,7,133,Florianópolis,SC,4200.0
1144,2025-09-11 14:00:00,Notebook Ultrafino,Eletrônicos,5200.0,5,140,Cuiabá,MT,26000.0
1145,2025-09-12 09:00:00,HD Externo 2TB,Hardware,450.0,5,125,Salvador,BA,2250.0
1146,2025-09-12 15:00:00,Laptop Gamer,Eletrônicos,7500.0,1,140,São Paulo,SP,7500.0
1147,2025-09-12 13:00:00,Webcam Full HD,Acessórios,300.0,6,127,Porto Velho,RO,1800.0
1148,2025-09-12 17:00:00,Mesa Escritório,Móveis,700.0,1,126,Salvador,BA,700.0
1149,2025-09-12 02:00:00,Smartphone Premium,Eletrônicos,4200.0,7,137,Recife,PE,29400.0
1150,2025-09-13 14:00:00,Roteador Wi-Fi 6,Hardware,650.0,4,115,Natal,RN,2600.0
1151,2025-09-13 18:00:00,Webcam Full HD,Acessórios,300.0,4,141,São Paulo,SP,1200.0
1152,2025-09-13 17:00:00,Fonte 750W,Hardware,550.0,1,119,Cuiabá,MT,550.0
1153,2025-09-13 08:00:00,Placa de Vídeo,Hardware,4500.0,1,112,Macapá,AP,4500.0
1154,2025-09-13 13:00:00,Caixa de Som Bluetooth,Acessórios,350.0,5,116,Vitória,ES,1750.0
1155,2025-09-14 11:00:00,SSD 1TB,Hardware,600.0,7,146,Rio Branco,AC,4200.0
1156,2025-09-14 12:00:00,SSD 1TB,Hardware,600.0,2,127,São Luís,MA,1200.0
1157,2025-09-14 14:00:00,Notebook Ultrafino,Eletrônicos,5200.0,3,146,Recife,PE,15600.0
1158,2025-09-14 21:00:00,Caixa de Som Bluetooth,Acessórios,350.0,1,136,São Paulo,SP,350.0
1159,2025-09-14 17:00:00,Placa de Vídeo,Hardware,4500.0,3,139,Porto Velho,RO,13500.0
1160,2025-09-15 07:00:00,SSD 1TB,Hardware,600.0,2,134,Porto Alegre,RS,1200.0
1161,2025-09-15 23:00:00,SSD 1TB,Hardware,600.0,5,117,São Paulo,SP,3000.0
1162,2025-09-15 03:00:00,Cadeira Gamer,Móveis,1200.0,6,136,Curitiba,PR,7200.0
1163,2025-09-15 20:00:00,Laptop Gamer,Eletrônicos,7500.0,5,129,Teresina,PI,37500.0
1164,2025-09-15 11:00:00,Notebook Ultrafino,Eletrônicos,5200.0,3,131,Palmas,TO,15600.0
